symbol	entrez	ensembl	uniprot
mt-Nd1	17716	ENSMUSG00000064341	P03888
mt-Nd2	17717	ENSMUSG00000064345	P03893
mt-Co1	17708	ENSMUSG00000064351	P00397
mt-Co2	17709	ENSMUSG00000064354	P00405
mt-Atp8	17706	ENSMUSG00000064356	P03930
mt-Atp6	17705	ENSMUSG00000064357	P00848
mt-Co3	17710	ENSMUSG00000064358	P00416
mt-Nd3	17718	ENSMUSG00000064360	P03899
mt-Nd4l	17720	ENSMUSG00000065947	P03903
mt-Nd4	17719	ENSMUSG00000064363	P03911
mt-Nd5	17721	ENSMUSG00000064367	P03921
mt-Nd6	17722	ENSMUSG00000064368	P03925
mt-Cytb	17711	ENSMUSG00000064370	P00158
Gm4841	225594	ENSMUSG00000068606	
Trim60	234329	ENSMUSG00000053490	Q8VI40
Cox8c	75483	ENSMUSG00000043319	A6H666
Olfr1446	258699	ENSMUSG00000057817	
Gm8926		ENSMUSG00000094205	
Iba57	216792	ENSMUSG00000049287	Q8CAK1
Hdhd3	72748	ENSMUSG00000038422	Q9CYW4
Gfod2	70575	ENSMUSG00000013150	Q9CYH5
Kcnj14	211480	ENSMUSG00000058743	Q8JZN3
Iba57	216792	ENSMUSG00000049287	
Kcnj14	211480	ENSMUSG00000058743	
Gm20897	100861691	ENSMUSG00000100892	
Gm20897	108168548	ENSMUSG00000100892	
Stc2	20856	ENSMUSG00000020303	O88452
Gfod2	70575	ENSMUSG00000013150	
Olfr453	258016	ENSMUSG00000095831	
Nudt14	66174	ENSMUSG00000002804	Q9D142
Apela	100038489	ENSMUSG00000079042	P0DMC4
Znhit2	29805	ENSMUSG00000075227	Q9QY66
Rnf182	328234	ENSMUSG00000044164	Q8C432
Trim61	260296	ENSMUSG00000109718	
Rnf182	328234	ENSMUSG00000044164	
Nudt14	66174	ENSMUSG00000002804	
Macc1	238455	ENSMUSG00000041886	
F830016B08Rik	240328	ENSMUSG00000090942	
Echdc3	67856	ENSMUSG00000039063	Q9D7J9
Ncs1	14299	ENSMUSG00000062661	Q8BNY6
Vmn1r185	171265	ENSMUSG00000091924	
Slc25a4	11739	ENSMUSG00000031633	P48962
Ncs1	14299	ENSMUSG00000062661	
Fkbp1b	14226	ENSMUSG00000020635	Q9Z2I2
Fbp2	14120	ENSMUSG00000021456	P70695
Fsd2	244091	ENSMUSG00000038663	Q8BZ52
V1rg10		ENSMUSG00000098947	
Fkbp1b	14226	ENSMUSG00000020635	
Iglv3		ENSMUSG00000076939	
Gjc2	118454	ENSMUSG00000043448	Q8BQU6
Adrb3	11556	ENSMUSG00000031489	P25962
Themis	210757	ENSMUSG00000049109	Q8BGW0
Gm35134	102638610	ENSMUSG00000103371	
Gm6465		ENSMUSG00000094036	
Gm21117	108168594	ENSMUSG00000096769	
Olfr491	258731	ENSMUSG00000094612	Q8VG06
Cfap73	546886	ENSMUSG00000094282	J3QPZ5
Olfr1447	258698	ENSMUSG00000060303	
Mbd2	17191	ENSMUSG00000024513	Q9Z2E1
Themis	210757	ENSMUSG00000049109	
Aox2	213043	ENSMUSG00000079554	Q5SGK3
Olfr492	258490	ENSMUSG00000109497	Q8VFD1
Mboat1	218121	ENSMUSG00000038732	Q8BH98
Mbd2	17191	ENSMUSG00000024513	
Smyd5	232187	ENSMUSG00000033706	Q3TYX3
Tapbpl	213233	ENSMUSG00000038213	Q8VD31
AL845275.1		ENSMUSG00000118578	
Ccdc182	74297	ENSMUSG00000034031	Q9D9C6
AU018091	245128	ENSMUSG00000054753	
Pmch	110312	ENSMUSG00000035383	P56942
Slc4a2	20535	ENSMUSG00000028962	
Bod1	69556	ENSMUSG00000044502	Q5SQY2
Snrnp48	67797	ENSMUSG00000021431	Q9D361
Dcaf15	212123	ENSMUSG00000037103	Q6PFH3
Dcaf15	212123	ENSMUSG00000037103	
Chst1	76969	ENSMUSG00000027221	Q9EQC0
Zfp868	234362	ENSMUSG00000060427	
Lgi4	243914	ENSMUSG00000036560	Q8K1S1
Snrnp48	67797	ENSMUSG00000021431	
Lgi4	243914	ENSMUSG00000036560	
Olfr267	258922	ENSMUSG00000043385	
Zfp398	272347	ENSMUSG00000062519	
Rbis	69126	ENSMUSG00000078784	Q0VG62
Fxr2	23879	ENSMUSG00000018765	
Smo	319757	ENSMUSG00000001761	P56726
Pus1	56361	ENSMUSG00000029507	Q9WU56
Nlrp12	378425	ENSMUSG00000078817	E9Q5R7
Nlrp12	115489386	ENSMUSG00000078817	E9Q5R7
Rbis	69126	ENSMUSG00000078784	
Tac4	93670	ENSMUSG00000020872	Q99N14
Iigp1	60440	ENSMUSG00000054072	Q9QZ85
Rev3l	19714	ENSMUSG00000019841	Q61493
Csl	71832	ENSMUSG00000046934	
Vamp1	22317	ENSMUSG00000030337	Q62442
Olfr1448	258696	ENSMUSG00000048456	
Il22ra2	237310	ENSMUSG00000039760	Q80XF5
Parpbp	75317	ENSMUSG00000035365	
Rev3l	19714	ENSMUSG00000019841	
Arhgap24	231532	ENSMUSG00000057315	
Gmnn	57441	ENSMUSG00000006715	O88513
Aox4	71872	ENSMUSG00000038242	Q3TYQ9
Tal1	21349	ENSMUSG00000028717	P22091
Vamp1	22317	ENSMUSG00000030337	
E2f5	13559	ENSMUSG00000027552	Q61502
Gmnn	57441	ENSMUSG00000006715	
Pus1	56361	ENSMUSG00000029507	
E2f5	13559	ENSMUSG00000027552	
Cdk6	12571	ENSMUSG00000040274	
Fxyd3	17178	ENSMUSG00000057092	Q61835
Arhgap24	231532	ENSMUSG00000057315	Q8C4V1
Cc2d2a	231214	ENSMUSG00000039765	Q8CFW7
Gm13103	194225	ENSMUSG00000029451	
